account,glv,is_eligible_per_market,is_eligible_label,glv_eligible_for_claim,glv_eligible_for_claim_raw,share,Share in USD
0xb3a8a78731015c3f30afb91128b7819303ffe8fb,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,15833.63271,1.58E+22,0.002222425182,$555.60629549
0xc444d15c2d9fc71dcb10393e4b07bbcf9ba37bf7,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,14853.44829,1.49E+22,0.002084845475,$521.21136879
0x5dcd83cf2dd90a4c7e1c189e74ec7dc072ad78e1,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,14623.68832,1.46E+22,0.002052596127,$513.14903175
0x0cd8d0e384662c2e427344c4e5f47a55d0264411,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,14485.62526,1.45E+22,0.002033217452,$508.30436295
0xfc5be65e67bf016e414db1655133529033f0fa15,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,14481.42527,1.45E+22,0.002032627936,$508.15698412
0x3eb3afda3f2c2f654419f01ff3eff937059d3f50,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,13875.51114,1.39E+22,0.001947581198,$486.89529956
0x0b5d351c06ce648190744e445ed8341588ad98f6,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,13815.47756,1.38E+22,0.001939154823,$484.78870566
0xbedc8e268b4d0e822b769eeb373368378e43bdf2,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,13590.14349,1.36E+22,0.001907526697,$476.88167421
0x3d1d5d9e79128a54213ed1170664157c0247f6e7,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,13318.49009,1.33E+22,0.001869397142,$467.34928561
0x43f05f5c7dcacaa22e1b16615bc22fcb18951b86,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,12940.12401,1.29E+22,0.001816289286,$454.07232140
0xf00bdc63757d8dcd4b9c1e21b7921dae41dc2ade,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,12605.72042,1.26E+22,0.00176935205,$442.33801244
0xf9c3c3f723749a47e2504853339c239f2b77f831,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,12433.28411,1.24E+22,0.00174514871,$436.28717748
0x1e66811181aa13d923a862ccada588bc9e6eae26,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,12259.40851,1.23E+22,0.001720743349,$430.18583724
0xc0f2bc5b6bb3608b1227acf03b32eac99a22bc2f,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,12212.38029,1.22E+22,0.001714142419,$428.53560479
0x1dd72e6dfbad8f638f622cebff73079a7d0f4f3a,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,12167.51329,1.22E+22,0.00170784484,$426.96121003
0xbc03c6f5c2186cd6fdeed8d9eb3228dab680acae,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,11911.26116,1.19E+22,0.001671877024,$417.96925610
0x7bee1cd814beee5965338e0fdebb78cc117bd22b,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,11902.40668,1.19E+22,0.001670634201,$417.65855019
0x77ee23bb9497ee597a0ba3022e6388c988ea8afe,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,11817.4063,1.18E+22,0.001658703459,$414.67586479
0x262757e7f40c592e990b85623b73c65afa6e53a8,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,11785.85281,1.18E+22,0.001654274579,$413.56864464
0x19fa893c5e07fa1a4d9e0c97895e2ff5e870917c,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,11575.23833,1.16E+22,0.00162471251,$406.17812743
0xf493789786aaa04b5ae17ed95bc87cfe6a260658,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,11572.6108,1.16E+22,0.001624343707,$406.08592666
0x24955bd4a2205e4d96d41191192c6e80381abd76,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,11522.49536,1.15E+22,0.001617309452,$404.32736309
0x33b44ed09fe9002c101db139dbeee488a825875a,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,11516.84691,1.15E+22,0.00161651663,$404.12915751
0x2c14350b89734febb9df564cade1d420cbd99bbb,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,11383.07907,1.14E+22,0.001597740836,$399.43520888
0xe0cc9854371614b6a68a8760567a01a118873fba,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,11253.52062,1.13E+22,0.001579555877,$394.88896915
0xf23e1befc889ac30991762ed44fbd8ebf260419b,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,11113.58307,1.11E+22,0.001559914097,$389.97852422
0x1d5bedf6b017a282eb7446e86e7c2584e89ef466,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,10908.80475,1.09E+22,0.001531171199,$382.79279972
0xa9a5f6a3777d128d7abf2ff972ca146a13a3fca3,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,10896.24943,1.09E+22,0.001529408921,$382.35223020
0x7d212ce199459eb212ffbd1f45fd7b332b76d953,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,10851.9133,1.09E+22,0.001523185855,$380.79646383
0xc07f20395b27401a4ddd845dc3fc06bd6fcd5e63,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,10769.10154,1.08E+22,0.001511562311,$377.89057775
0xcef13daa45ca6ca8b1af80e20280c7e5f6016b3c,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,10708.92817,1.07E+22,0.001503116314,$375.77907840
0x7c8dc754feccf61fb338a934794fab8a7a5cb174,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,10706.33682,1.07E+22,0.001502752589,$375.68814721
0x295bdafd8d7b7c3289f13c3f98dee7b569b7980f,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,10555.3323,1.06E+22,0.001481557437,$370.38935921
0x19cf5be00fdba36deceb86d65f1fad5730c90c08,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,10404.46464,1.04E+22,0.001460381495,$365.09537371
0x4cc25e0366c564847546f2feda3d7f0d9155b9ac,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,10272.61252,1.03E+22,0.001441874595,$360.46864870
0x5293325d7c66ebf580f57179355fa22fcb8f8b56,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,10070.75129,1.01E+22,0.001413541142,$353.38528555
0xab2f634827597430587923c6130e40c6fe0f6617,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,9940.075969,9.94E+21,0.001395199418,$348.79985444
0x523985489a68b1a6d7fe7757e562c3b5f5926010,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,9858.584032,9.86E+21,0.001383761125,$345.94028115
0x84120647a1cb516d0b679af75f60456c3f909cf9,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,9708.995706,9.71E+21,0.001362764751,$340.69118784
0xaf1538424f432e086ce50eca04767231462027e4,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,9642.649216,9.64E+21,0.001353452289,$338.36307221
0xc1a1db943e1eeaa55746099dd145aca5e33478a2,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,9517.323643,9.52E+21,0.001335861461,$333.96536521
0x8ae8930864eeb9b13f8206e6fea8ecbde6dff1ea,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,9489.352877,9.49E+21,0.001331935455,$332.98386376
0x91c1c680e7daffcd15abe7db8e6bac79c33d7e4b,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,9428.906881,9.43E+21,0.001323451192,$330.86279800
0x4d53a5ad0d778df3b3fdad01da22670130e2d883,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,9411.839063,9.41E+21,0.001321055535,$330.26388385
0x217caca1cd024d883988fc7dec1d9086baeb5a05,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,9224.358248,9.22E+21,0.001294740533,$323.68513321
0x447817177a3761286b4c71bacc7dfb5a7f06cede,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,9206.200949,9.21E+21,0.001292191955,$323.04798886
0x7eaa868b94e5a7b31edd5f40a6f2ead114234676,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,9198.908399,9.20E+21,0.001291168366,$322.79209140
0x038ac1795d2c99b312e981e2992bfc45d0b3c73e,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,9191.180869,9.19E+21,0.001290083721,$322.52093033
0x310d4fb2845c3e0c3c57165198d65a5327a373ea,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,9026.07198,9.03E+21,0.001266908866,$316.72721643
0x0b8c9e653078288f80f99fb71039a302cdc3b4b5,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,8956.654582,8.96E+21,0.001257165367,$314.29134185
0xce65a2b43efccd13d7a7adf2ffb0c72acde0b2f1,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,8892.530537,8.89E+21,0.00124816485,$312.04121243
0x69aa4b1c616c9f2a08d57bc8809a199d07c978c0,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,8891.305781,8.89E+21,0.001247992942,$311.99823540
0xe3de40029774a0bdbea68328464785472bf1b3b4,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,8687.272735,8.69E+21,0.001219354651,$304.83866268
0x325b3c98d5b31052e3a3e6526433f5eacc46c5b9,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,8363.119445,8.36E+21,0.001173856157,$293.46403934
0x2cd03d3ce4c5ec075f259ccc85d19706a9090dcc,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,8362.998429,8.36E+21,0.001173839171,$293.45979285
0x695e4494bc9d802d4ef182944da80c7803903f75,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,8320.891732,8.32E+21,0.001167929032,$291.98225788
0x096eea213800e75a318b8db790a843c2a7343416,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,8320.858121,8.32E+21,0.001167924314,$291.98107848
0x8f99da5a350e29de49433737bff7dffea434606c,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,8141.129553,8.14E+21,0.001142697425,$285.67435621
0xc581deb55834fa8aaf8de116c89fac10d405a2cf,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,8136.633032,8.14E+21,0.001142066288,$285.51657210
