address,net_wbtc,net_weth,net_usdc,net_usdt,estimated_usd
0x4ffd0a59a26cb2aa76d403215e4cc2845c053994,0,0,100,0,100
0xb6699cfb5973cb4a7c803b1cc06d7216d7a958fc,0,0,100,0,100
0x6929a525c79b8a0ebc991194505ab8a084a0b786,0,0,0,100,100
0x7bac16a888e14e20896b987a732667fddfb88fb5,0,0,0,100,100
0xfd3ca1e072ea69a9e651f6a3112ad1c757366dfc,0,0,0,100,100
0xcb21dd698c266b73ee772cf78f0f74c191a14e0d,0,0,0,100,100
0xf84bfa23c2ab766c47056011b26e2d12ade5c754,0,0,0,100,100
0x12f30aba40f199f917fb716e868aa9c272b868d9,0,0,100,0,100
0xc5f6e1c3fe7078a09f3d8d05b0e883d1c22a1489,0,0,0,100,100
0xf2b22e4cfa1f9d20d6fec2e7225e14e72de5ca59,0,0,0,100,100
0x79183df82d5646d0e3e6e1f836ac83e3deec481d,0,0,0,100,100
0xe9e0b8b2066b82fa03d5a3471dc1c718f45f6989,0,0,0,100,100
0xd36f6c76572e7a2e9b457ca7de541c2f4115c649,0,0,100,0,100
0x1d7d55af165f78704b76cbb725d88f8dc3588a76,0,0,100,0,100
0x3b76fbc3e1c44eb8ecf4b711ced5160042dba80c,0,0,0,99.5,99.5
0xa4ae3446f8eb8551b07015e06225da4812ecb912,0,0,99.43,0,99.43
0x2011c32daefaa28fa995f32cdf23bd67ede34e57,0,0,99,0,99
0xd22a6526661e16d4eb02480854270d131514b198,0,0.034,0,5.24,98.74
0xc56493884cece55363849a9e5eb389b309c5441c,0,0.035,0,0,96.25
0xd48f1a44e56526e96a983ff750559aa365810d5a,0,0,0,95.65,95.65
0xc0b7b4f02c2b90fc47f6642de8b10d00605f881a,0,0.0322,0,0,88.55
0xbaaae914f34c4f0211004ccb0f0f44dfda01e1da,0.0008,0,0,0,88
0xa4dda6e916492f361722f9ad1b52bddc07489ab8,0,0,0,85.55,85.55
0x5862d76057b79e75a02955d9071e6f5622405189,0,0.03,0,0,82.5
0xf97d761f91ebda89b8b38ba0620fec2b4f40e0f6,0,0.03,0,0,82.5
0x2a105464a47181bac686a522f3948ac27cdbd1f2,0,0.03,0,0,82.5
0xf115d93a31e79cca4697b9683c856326e0bed3c3,0,0.03,0,0,82.5
0x2a70938d79d975267da22c1f6b7f0c1e2ed42036,0,0.03,0,0,82.5
0x79cf112b08a85a71cdd33e8da217867caf3e5df8,0,0.03,0,0,82.5
0xd9ebacee08b82adc03599dd602ce212df9a4fe29,0,0.03,0,0,82.5
0xbee45ef2deb682657759a1d4e42ab51e3799a775,0,0,66.12,15.88,82
0x64739640e38f55e6bf1e72a3b10405395f71fb45,0,0.029,0,0,79.75
