rn,distribution_share,sum_distribution_share,running_approximate_distribution_usd,sum_approximate_distribution_usd,distribution_token,receiver_type,account,balance_before_event,pool_share,approximate_distribution_usd,is_contract,contract_name,has_redeemed,redemption_usd,redemption_bonus_usd,approximate_distribution_before_redemption_bonus_usd
1266,6.048492780364075e-7,1.0000000000000009,3372605.015252888,3373254.04556872,GLV,CONTRACT,0x7712ed7e5e63e57788ca7461cb1941806a09460e,1.5329825292475598,4.742438294235695e-8,2.0403102740956314,true,,false,,,2.0403102740956314
1267,6.046451063299173e-7,1.0000000000000009,3372607.0548744393,3373254.04556872,GLV,CONTRACT,0xe19bd09a4863ae0210f8eb138d24370ff9d08fb6,1.5324650587464257,4.740837446297838e-8,2.0396215510607223,true,,false,,,2.0396215510607223
1268,6.039420753626327e-7,1.0000000000000009,3372609.092124488,3373254.04556872,GLV,CONTRACT,0xf2b2376a35100337c5c18d03af48b7ea3ee9d5df,1.530683236018843,4.73532519539112e-8,2.0372500490061696,true,,false,,,2.0372500490061696
1269,6.039221700956241e-7,1.0000000000000009,3372611.1293073916,3373254.04556872,GLV,CONTRACT,0xc221cd72638f028db50f3ae72b9efa77becfd7fd,1.5306327863817644,4.735169124277297e-8,2.037182903483705,true,,false,,,2.037182903483705
1270,6.03903054518954e-7,1.0000000000000009,3372613.1664258135,3373254.04556872,GLV,CONTRACT,0xce682e7f1570930dae9a04d3ba3f36656a3cbdf0,1.5305843382044486,4.735019244884019e-8,2.037118421787369,true,,false,,,2.037118421787369
1271,6.038438710710526e-7,1.0000000000000009,3372615.203344594,3373254.04556872,GLV,CONTRACT,0x490603c4d3dee21afaec362b55e7ad46e1848b19,1.530434338535195,4.7345552055606617e-8,2.0369187809823046,true,,false,,,2.0369187809823046
1272,6.038289415493118e-7,1.0000000000000009,3372617.240213014,3373254.04556872,GLV,CONTRACT,0xc4bf07698d78437d38cdc85be29a8f4e13ce8bd7,1.5303964998589665,4.73443814774446e-8,2.036868419912694,true,,false,,,2.036868419912694
1273,6.030152193526931e-7,1.0000000000000009,3372619.2743365425,3373254.04556872,GLV,CONTRACT,0x6925f0dca180c824de7a8a3dccad91924aa07db5,1.528334131668453,4.728058000745456e-8,2.0341235282209813,true,,false,,,2.0341235282209813
1274,6.021402479065419e-7,1.0000000000000009,3372621.30550857,3373254.04556872,GLV,CONTRACT,0x9dd67a08dbbf8f0c6b8c416c07c61726b0b3ab8f,1.5261165280616589,4.7211976171039945e-8,2.0311720272504945,true,,false,,,2.0311720272504945
1275,6.019746003822582e-7,1.0000000000000009,3372623.336121826,3373254.04556872,GLV,CONTRACT,0x973b9d25eaac8026da629a51de4cd306810fc7a7,1.5256966965929593,4.7198988255024595e-8,2.030613256069066,true,,false,,,2.030613256069066
1276,6.003972483880054e-7,1.0000000000000009,3372625.3614142733,3373254.04556872,GLV,CONTRACT,0x761156a8210f852493267933818c125fc78709f4,1.521698918737436,4.70753129069227e-8,2.025292447073167,true,,false,,,2.025292447073167
1277,5.998142306624453e-7,1.0000000000000009,3372627.384740053,3373254.04556872,GLV,CONTRACT,0xd4aaa619a748073dc3247df101821b65b52d4905,1.5202212679904155,4.702960026927369e-8,2.023325780171783,true,,false,,,2.023325780171783
1278,5.992187501330921e-7,1.0000000000000009,3372629.4060571264,3373254.04556872,GLV,CONTRACT,0x8ab4d5e5e6d4dd5e4960c84c8f5777e398bea916,1.518712030431318,4.6982910461276497e-8,2.021317073067085,true,,false,,,2.021317073067085
1279,5.983741245116297e-7,1.0000000000000009,3372631.4245250626,3373254.04556872,GLV,CONTRACT,0x533829bfb90230186ccc120068f091eec97d4f44,1.5165713379175394,4.691668594821234e-8,2.0184679362724958,true,,false,,,2.0184679362724958
1280,5.977190309375415e-7,1.0000000000000009,3372633.4407832017,3373254.04556872,GLV,CONTRACT,0x2c3161ef4f6bb48e925dcc60b2b8d19e64daf7c7,1.5149110118816722,4.686532206360709e-8,2.016258139223477,true,,false,,,2.016258139223477
1281,5.965156967599118e-7,1.0000000000000009,3372635.452982189,3373254.04556872,GLV,CONTRACT,0xe46f17f126e0da7d324c18abc160fa45d7abcbcf,1.5118611772565211,4.677097230918099e-8,2.012198987340616,true,,false,,,2.012198987340616
1282,5.96416492128168e-7,1.0000000000000009,3372637.464846534,3373254.04556872,GLV,CONTRACT,0xf718cb7d1d557089f8bbf07e7b2e9bd9c1c7215f,1.5116097444239032,4.676319397726209e-8,2.011864344915247,true,,false,,,2.011864344915247
1283,5.946643315841037e-7,1.0000000000000009,3372639.4708003965,3373254.04556872,GLV,CONTRACT,0x5d2099a3899e719574cb5b696f7a994c3cdef352,1.5071689166011315,4.6625812425137314e-8,2.0059538622714967,true,,false,,,2.0059538622714967
1284,5.942027304247088e-7,1.0000000000000009,3372641.4751971606,3373254.04556872,GLV,CONTRACT,0xc27a7e393c6caa94be89386dbc0bb1491afd2c72,1.5059989945419865,4.658961968928609e-8,2.0043967642931286,true,,false,,,2.0043967642931286
1285,5.942027304247088e-7,1.0000000000000009,3372643.4795939247,3373254.04556872,GLV,CONTRACT,0x69118c85432c1a760f1ab180ef20d0d16ac81099,1.5059989945419865,4.658961968928609e-8,2.0043967642931286,true,,false,,,2.0043967642931286
1286,5.936125087381138e-7,1.0000000000000009,3372645.4819997214,3373254.04556872,GLV,CONTRACT,0x602323ae812828957f20baa3b4aa0fe6944d03fd,1.5045030854505999,4.6543342211073925e-8,2.0024057966010393,true,,false,,,2.0024057966010393
